CCNJL|79616_calculated
PSD2|84249_calculated
C4orf23|152992_calculated
ZNF263|10127_calculated
PMS2L2|5380|1of2_calculated
RRN3P1|730092_calculated
ASPRV1|151516_calculated
DHRSX|207063|1of2_calculated
IQCD|115811_calculated
ACBD7|414149_calculated
GSTO2|119391_calculated
VASH2|79805_calculated
GPR137C|283554_calculated
KCTD19|146212_calculated
ZNF833P|401898_calculated
FAM69A|388650_calculated
LMO7|4008_calculated
ZC3H12B|340554_calculated
CXCL17|284340_calculated
KIAA1267|284058_calculated
ZDHHC17|23390_calculated
ELK4|2005_calculated
DYRK2|8445_calculated
FBXO3|26273_calculated
MTMR1|8776_calculated
PLCXD2|257068_calculated
MYOM1|8736_calculated
MAK|4117_calculated
ZNF732|654254_calculated
SERAC1|84947_calculated
KIAA1024|23251_calculated
CALB1|793_calculated
C1orf114|57821_calculated
FAM22D|728130_calculated
CDK17|5128_calculated
PTPN4|5775_calculated
SNORD116-27|100033439_calculated
SNORD116-5|100033417|2of2_calculated
SNORD116-14|100033426_calculated
ZNF432|9668_calculated
ZNF331|55422_calculated
KDELR3|11015_calculated
CIB3|117286_calculated
CCDC65|85478_calculated
FKBP11|51303_calculated
SLC19A2|10560_calculated
ADAM22|53616_calculated
ACER2|340485_calculated
TGFB3|7043_calculated
PODXL|5420_calculated
CNKSR2|22866_calculated
SCARNA15|677778_calculated
SNORD111|692214_calculated
FAM190A|401145_calculated
DDX6|1656_calculated
CNOT6L|246175_calculated
TAF9B|51616_calculated
FAM172A|83989_calculated
TLK1|9874_calculated
C15orf33|196951_calculated
FAM175A|84142_calculated
GNAQ|2776_calculated
RBBP4|5928_calculated
SYNC|81493_calculated
PDCL|5082_calculated
GALNT1|2589_calculated
RBM8A|9939_calculated
CSNK2A1|1457_calculated
CNOT7|29883_calculated
YWHAQ|10971_calculated
CEP57|9702_calculated
PSIP1|11168_calculated
ATRX|546_calculated
TERF1|7013_calculated
CCNC|892_calculated
TMEM135|65084_calculated
RBM27|54439_calculated
PPP2R5E|5529_calculated
CUL5|8065_calculated
FOXP1|27086_calculated
RBM26|64062_calculated
EIF1AX|1964_calculated
GLO1|2739_calculated
SRP9|6726_calculated
C11orf58|10944_calculated
TIPRL|261726_calculated
SCOC|60592_calculated
ACTR6|64431_calculated
C4orf27|54969_calculated
MRPL39|54148_calculated
FUNDC1|139341_calculated
SYPL1|6856_calculated
SPCS2|9789_calculated
PCNP|57092_calculated
MOBKL3|25843_calculated
MORF4L1|10933_calculated
NDUFA5|4698_calculated
CRIPT|9419_calculated
MAGOHB|55110_calculated
FCF1|51077_calculated
ZCCHC10|54819_calculated
TMEM68|137695_calculated
AASDHPPT|60496_calculated
CCDC117|150275_calculated
THAP2|83591_calculated
C5orf51|285636_calculated
FTSJD1|55783_calculated
ZNF24|7572_calculated
ERCC4|2072_calculated
LYSMD3|116068_calculated
SLC25A30|253512_calculated
C18orf54|162681_calculated
TMED8|283578_calculated
C3orf23|285343_calculated
RBBP9|10741_calculated
C15orf29|79768_calculated
DNAL1|83544_calculated
PRKCI|5584_calculated
DENR|8562_calculated
C11orf57|55216_calculated
LYRM5|144363_calculated
KRAS|3845_calculated
GNB4|59345_calculated
RAB11FIP2|22841_calculated
PURB|5814_calculated
UFM1|51569_calculated
ARPP19|10776_calculated
CWF19L2|143884_calculated
DNAJB9|4189_calculated
RWDD3|25950_calculated
MOSPD1|56180_calculated
ALG14|199857_calculated
PPP4R2|151987_calculated
ACBD3|64746_calculated
GABPA|2551_calculated
HSPA13|6782_calculated
RNF2|6045_calculated
SC5DL|6309_calculated
FAM8A1|51439_calculated
ORC4|5000_calculated
DYRK1A|1859_calculated
PRUNE|58497_calculated
ISCA1|81689_calculated
BMPR1B|658_calculated
SYCP3|50511_calculated
ZNF295|49854_calculated
SNORD90|692206_calculated
WASL|8976_calculated
TMEM41B|440026_calculated
DNAJB7|150353_calculated
SLC25A16|8034_calculated
CFL2|1073_calculated
C19orf12|83636_calculated
UNC50|25972_calculated
C10orf57|80195_calculated
PAIP2|51247_calculated
WDSUB1|151525_calculated
WDYHV1|55093_calculated
C7orf30|115416_calculated
ZDHHC4|55146_calculated
UBE2Z|65264_calculated
STARD3NL|83930_calculated
TIAL1|7073_calculated
CLDND1|56650_calculated
SRP54|6729_calculated
PPPDE1|51029_calculated
TMED2|10959_calculated
SSR1|6745_calculated
ERLEC1|27248_calculated
SSR3|6747_calculated
BET1|10282_calculated
MMAA|166785_calculated
YIPF5|81555_calculated
BTBD10|84280_calculated
MAT2B|27430_calculated
GLCE|26035_calculated
LIX1L|128077_calculated
SDHC|6391_calculated
GOLPH3|64083_calculated
KIAA0494|9813_calculated
CASC4|113201_calculated
PPP3CB|5532_calculated
C7orf31|136895_calculated
COQ7|10229_calculated
EID1|23741_calculated
C14orf28|122525_calculated
PPP2CB|5516_calculated
FAM177A1|283635_calculated
RAB11A|8766_calculated
IMPAD1|54928_calculated
BZW1|9689_calculated
RG9MTD2|93587_calculated
RBM7|10179_calculated
PLEKHA3|65977_calculated
CCNI|10983_calculated
SEC24A|10802_calculated
YIPF6|286451_calculated
LIN52|91750_calculated
NOL9|79707_calculated
NCK1|4690_calculated
GCOM1|145781_calculated
GRINL1A|81488_calculated
LOC339524|339524_calculated
HS2ST1|9653_calculated
PGRMC1|10857_calculated
SEPT7|989_calculated
SUCLA2|8803_calculated
ATG5|9474_calculated
EFHA1|221154_calculated
SNX4|8723_calculated
C10orf84|63877_calculated
MED4|29079_calculated
AIMP1|9255_calculated
SCFD1|23256_calculated
MIOS|54468_calculated
COPB1|1315_calculated
LSM14A|26065_calculated
ATMIN|23300_calculated
CSDE1|7812_calculated
G3BP2|9908_calculated
PLDN|26258_calculated
RARS2|57038_calculated
KCTD9|54793_calculated
SEC23A|10484_calculated
RDX|5962_calculated
GNPAT|8443_calculated
MESDC2|23184_calculated
RNF8|9025_calculated
COPS5|10987_calculated
ADH5|128_calculated
SEC31A|22872_calculated
MKRN2|23609_calculated
CGRRF1|10668_calculated
WAC|51322_calculated
SMEK1|55671_calculated
ABI1|10006_calculated
PRKRIR|5612_calculated
CREM|1390_calculated
C6orf72|116254_calculated
AKIRIN1|79647_calculated
MAPK1IP1L|93487_calculated
MARCH5|54708_calculated
MEMO1|51072_calculated
PPP6C|5537_calculated
DPM1|8813_calculated
ING3|54556_calculated
USP16|10600_calculated
STK3|6788_calculated
FEZ2|9637_calculated
COPS8|10920_calculated
DENND2C|163259_calculated
CWC15|51503_calculated
ENOPH1|58478_calculated
PSMD10|5716_calculated
C2orf47|79568_calculated
PTGES3|10728_calculated
C18orf19|125228_calculated
RPP14|11102_calculated
ARL1|400_calculated
DBR1|51163_calculated
CCBL2|56267_calculated
POLR3F|10621_calculated
SUDS3|64426_calculated
PARG|8505_calculated
C2orf29|55571_calculated
TDG|6996_calculated
OSBP|5007_calculated
YY1|7528_calculated
NKIRAS1|28512_calculated
SRSF12|135295_calculated
STOX1|219736_calculated
CXorf58|254158_calculated
MBOAT4|619373_calculated
ACP1|52_calculated
ALG9|79796_calculated
RNF214|257160_calculated
KLHDC2|23588_calculated
C2orf52|151477_calculated
NEK5|341676_calculated
RBM45|129831_calculated
ZNF207|7756_calculated
TARDBP|23435_calculated
B3GALTL|145173_calculated
TTC19|54902_calculated
RBBP6|5930_calculated
DNAJC25|548645_calculated
USP46|64854_calculated
HNRNPR|10236_calculated
SMARCE1|6605_calculated
MATR3|9782_calculated
MTPAP|55149_calculated
NUP54|53371_calculated
UTP15|84135_calculated
RINT1|60561_calculated
CCDC111|201973_calculated
CDKAL1|54901_calculated
AUH|549_calculated
BRMS1L|84312_calculated
MED17|9440_calculated
DDX52|11056_calculated
TYW1|55253_calculated
YTHDF2|51441_calculated
C1orf77|26097_calculated
ZNF565|147929_calculated
PUM1|9698_calculated
FOXJ3|22887_calculated
SS18|6760_calculated
E2F6|1876_calculated
TRMT61B|55006_calculated
NCBP2|22916_calculated
FBXO10|26267_calculated
JUB|84962_calculated
KIF3A|11127_calculated
FUT2|2524_calculated
TSPYL1|7259_calculated
C11orf67|28971_calculated
CDKL3|51265_calculated
PHACTR4|65979_calculated
GUSBP4|375513_calculated
PARP16|54956_calculated
BOD1|91272_calculated
PIP4K2B|8396_calculated
INSIG2|51141_calculated
TRAM2|9697_calculated
CSRNP2|81566_calculated
SAP30L|79685|2of2_calculated
AHCYL2|23382_calculated
ALG2|85365_calculated
HCG2P7|80867_calculated
TNKS2|80351_calculated
FMR1|2332_calculated
RNF38|152006_calculated
SPDYA|245711_calculated
TMLHE|55217_calculated
EXOC2|55770_calculated
MIA3|375056_calculated
TDRD3|81550_calculated
NPEPPS|9520_calculated
ASPHD1|253982_calculated
STAM2|10254_calculated
HERC4|26091_calculated
NSL1|25936_calculated
PAFAH1B1|5048_calculated
FBXW11|23291_calculated
DDX59|83479_calculated
WDR47|22911_calculated
HCFC2|29915_calculated
FBXO48|554251_calculated
ZFP161|7541_calculated
KCTD18|130535_calculated
ANKRA2|57763_calculated
VAMP4|8674_calculated
CDKL1|8814_calculated
ALS2CR11|151254_calculated
METTL6|131965_calculated
TRMT2B|79979_calculated
GTF2H2C|728340|1of3_calculated
TXNL4B|54957_calculated
RCHY1|25898_calculated
MARCH7|64844_calculated
USP33|23032_calculated
IBTK|25998_calculated
EXOC5|10640_calculated
WAPAL|23063_calculated
C4orf41|60684_calculated
FAM178A|55719_calculated
ZBTB41|360023_calculated
ELMOD2|255520_calculated
AASDH|132949_calculated
SCRN3|79634_calculated
APPBP2|10513_calculated
GOPC|57120_calculated
ZNF564|163050_calculated
ZNF583|147949_calculated
SNRNP48|154007_calculated
C16orf52|730094_calculated
DNAJC24|120526_calculated
TMEM161B|153396_calculated
C4orf29|80167_calculated
N4BP2L2|10443_calculated
CCDC82|79780_calculated
CBR4|84869_calculated
KLHL28|54813_calculated
NSUN3|63899_calculated
CREB1|1385_calculated
SMAD4|4089_calculated
DCAF10|79269_calculated
SMEK2|57223_calculated
CGGBP1|8545_calculated
MAF|4094_calculated
NCR1|9437_calculated
KLRC1|3821_calculated
KLRC2|3822_calculated
KLRC3|3823_calculated
PLSCR4|57088_calculated
PLS3|5358_calculated
TSPYL5|85453_calculated
STAT4|6775_calculated
ENAH|55740_calculated
KHDRBS2|202559_calculated
PIM2|11040_calculated
CRISPLD1|83690_calculated
SH3BGRL2|83699_calculated
ZNF132|7691_calculated
ZFP112|7771_calculated
TRIM6|117854_calculated
ZNF788|388507_calculated
ZNF429|353088_calculated
HSPA4L|22824_calculated
BAG2|9532_calculated
MPP6|51678_calculated
SLC16A1|6566_calculated
ITGAV|3685_calculated
ANKS6|203286_calculated
TRIM9|114088_calculated
?|440482_calculated
TTC23|64927_calculated
ITGA2|3673_calculated
SEMA6C|10500_calculated
MGC57346|401884_calculated
C17orf69|147081_calculated
FAM57A|79850_calculated
CASKIN2|57513_calculated
TMSB15B|286527_calculated
B3GNT1|11041_calculated
ZNF702P|79986_calculated
USP27X|389856_calculated
ZNF835|90485_calculated
CA13|377677_calculated
TLR3|7098_calculated
ZDHHC15|158866_calculated
ZNF286A|57335_calculated
ARMCX1|51309_calculated
NCRNA00263|90271_calculated
ABI2|10152_calculated
VSIG10|54621_calculated
RUNX1|861_calculated
ZNF154|7710_calculated
ZNF300|91975_calculated
ZNF135|7694_calculated
ZNF90|7643_calculated
ZNF486|90649_calculated
CRIM1|51232_calculated
SLC4A7|9497_calculated
MGAT4A|11320_calculated
SNORA15|677803_calculated
ARL5B|221079_calculated
N4BP2|55728_calculated
ZNF460|10794_calculated
SNORD98|692211_calculated
LOC442454|442454_calculated
HYMAI|57061_calculated
C9orf93|203238_calculated
GUSBP1|728411_calculated
SCARNA27|100124533_calculated
TP53INP1|94241_calculated
OSBPL3|26031_calculated
MOBKL1A|92597_calculated
NRIP1|8204_calculated
SCAI|286205_calculated
NEDD4|4734_calculated
ZNF721|170960_calculated
ZNF184|7738_calculated
ZNF544|27300_calculated
ZIK1|284307_calculated
ZNF528|84436_calculated
ZNF880|400713_calculated
ZNF540|163255_calculated
ZNF571|51276_calculated
GPM6B|2824_calculated
TAS2R4|50832_calculated
TAS2R3|50831_calculated
ZNF253|56242_calculated
ZNF493|284443_calculated
ZNF708|7562_calculated
ZNF675|171392_calculated
ZNF680|340252_calculated
ZNF254|9534_calculated
ZNF506|440515_calculated
RBM12B|389677_calculated
ZNF772|400720_calculated
ZNF573|126231_calculated
ZNF790|388536_calculated
ZNF606|80095_calculated
ZNF776|284309_calculated
ZNF84|7637_calculated
ZNF177|7730_calculated
ZNF559|84527_calculated
ALG10|84920_calculated
SLC35F5|80255_calculated
MRE11A|4361_calculated
CASD1|64921_calculated
DPY19L4|286148_calculated
KPNA5|3841_calculated
MIB1|57534_calculated
PDP2|57546_calculated
UBFD1|56061_calculated
DDHD2|23259_calculated
C8orf38|137682_calculated
FUBP1|8880_calculated
ATP6V0A2|23545_calculated
GLS|2744_calculated
ZNF709|163051_calculated
PHOSPHO2|493911_calculated
HACE1|57531_calculated
ZNF713|349075_calculated
SLC12A2|6558_calculated
SNORD5|692072_calculated
GKAP1|80318_calculated
PHF14|9678_calculated
