Gene,TCGA-AB-2805-03A-01T,TCGA-AB-2811-03B-01T,TCGA-AB-2812-03A-01T,TCGA-AB-2816-03A-01T,TCGA-AB-2818-03A-01T,TCGA-AB-2824-03A-01T,TCGA-AB-2825-03A-01T,TCGA-AB-2826-03A-01T,TCGA-AB-2833-03A-01T,TCGA-AB-2835-03A-01T,TCGA-AB-2836-03A-01T,TCGA-AB-2837-03A-01T,TCGA-AB-2839-03A-01T,TCGA-AB-2845-03B-01T,TCGA-AB-2848-03A-01T,TCGA-AB-2851-03A-01T,TCGA-AB-2853-03A-01T,TCGA-AB-2866-03A-01T,TCGA-AB-2867-03A-01T,TCGA-AB-2869-03A-01T,TCGA-AB-2871-03A-01T,TCGA-AB-2873-03A-01T,TCGA-AB-2877-03A-01T,TCGA-AB-2879-03A-01T,TCGA-AB-2880-03A-01T,TCGA-AB-2884-03A-01T,TCGA-AB-2900-03A-01T,TCGA-AB-2903-03A-01T,TCGA-AB-2909-03A-01T,TCGA-AB-2919-03A-01T,TCGA-AB-2921-03A-01T,TCGA-AB-2924-03A-01T,TCGA-AB-2925-03A-01T,TCGA-AB-2927-03A-01T,TCGA-AB-2931-03A-01T,TCGA-AB-2932-03A-01T,TCGA-AB-2934-03A-01T,TCGA-AB-2936-03A-01T,TCGA-AB-2938-03A-01T,TCGA-AB-2948-03A-01T,TCGA-AB-2955-03A-01T,TCGA-AB-2963-03A-01T,TCGA-AB-2964-03A-01T,TCGA-AB-2965-03A-01T,TCGA-AB-2966-03A-01T,TCGA-AB-2967-03A-01T,TCGA-AB-2969-03A-01T,TCGA-AB-2970-03A-01T,TCGA-AB-2971-03A-01T,TCGA-AB-2972-03A-01T,TCGA-AB-2973-03A-01T,TCGA-AB-2975-03A-01T,TCGA-AB-2976-03A-01T,TCGA-AB-2977-03A-01T,TCGA-AB-2978-03A-01T,TCGA-AB-2979-03A-01T,TCGA-AB-2981-03C-01T,TCGA-AB-2983-03A-01T,TCGA-AB-2984-03A-01T,TCGA-AB-2986-03A-01T,TCGA-AB-2987-03A-01T,TCGA-AB-2988-03C-01T,TCGA-AB-2990-03B-01T,TCGA-AB-2992-03A-01T,TCGA-AB-2993-03A-01T,TCGA-AB-2995-03A-01T,TCGA-AB-2996-03A-01T,TCGA-AB-3000-03A-01T,TCGA-AB-3002-03A-01T,TCGA-AB-3006-03A-01T,TCGA-AB-3008-03A-01T,TCGA-AB-3009-03A-01T,TCGA-AB-3011-03A-01T
hsa-mir-330,66.867391,67.921701,38.159399,18.607735,28.335462,40.285609,17.21998,52.789822,23.687939,27.837976,18.05956,7.765231,35.522904,49.977431,14.303726,13.156563,18.640881,27.361768,35.030977,19.120946,55.768391,26.496316,21.654344,21.500895,35.491618,21.843695,24.521554,8.847706,16.30394,16.258123,15.00885,15.689439,23.436585,33.546708,15.610969,20.410135,11.801499,17.883073,22.206393,20.39179,32.240731,22.308633,36.294172,19.645384,38.519354,33.782143,25.109987,26.160676,19.810087,42.526142,62.93631,28.556404,24.341413,23.624573,54.65955,27.686862,28.614372,49.860727,42.389608,36.596747,44.537214,32.972048,15.35973,40.729994,20.838844,84.703005,28.536822,22.676585,43.188094,16.339424,18.725119,17.900416,24.889669
hsa-mir-331,116.33094,66.602833,111.00916,72.739329,43.447708,107.965432,82.788365,98.381032,107.506799,61.580978,63.960943,80.240722,122.356668,254.646909,45.560017,46.553993,77.048975,105.237569,153.70735,65.3299,107.899714,56.777821,113.083795,66.707904,306.410969,78.637303,99.312293,48.402156,86.410883,150.968287,227.276869,95.630865,60.93512,153.608611,60.957116,94.136543,195.90488,112.067259,136.654726,139.226701,238.960711,91.174414,157.274743,76.125865,201.052236,88.678126,84.746206,161.86918,72.036681,105.196247,104.341777,96.116677,85.871095,69.965081,80.226114,154.255372,30.695418,234.480175,208.636353,93.525019,104.909881,51.436394,82.09511,206.458934,88.164338,136.261357,131.586457,270.985196,237.534519,206.966041,204.727968,126.421685,88.669445
hsa-mir-335,119.994907,390.384925,46.831989,35.523859,169.383093,78.959793,52.984554,16.196877,548.466889,35.430152,68.475833,27.825412,98.674733,1042.386414,74.697238,272.239652,505.789236,17.890387,1540.648087,33.461656,64.254886,35.959287,51.729821,153.262788,1478.817419,68.443578,49.043108,177.474573,2462.438439,27.290421,20.369153,8.218277,56.247803,188.920935,37.912353,81.224008,775.358471,419.65612,703.771841,27.423441,2842.241679,65.955959,304.871041,63.028942,1213.359639,8.445536,11.508744,156.964054,172.888035,79.45674,52.998998,481.976382,29.074465,90.863742,273.297752,573.513562,25.492805,340.939565,45.038959,231.779395,26.722328,344.228177,13.770793,56.179302,203.579472,858.078273,765.738057,1840.204906,246.426185,539.201002,2233.282526,743.98602,395.901294
hsa-mir-337,2.747975,0,0,0,2.518708,3.222849,0.662307,0.599884,0.911075,4.217875,0,0,0,6.34634,0,4.048173,1.242725,5.261878,11.438686,3.186824,8.486494,3.154323,0,1.653915,0,0,0,0,0,0,0,0,0,3.531232,3.716897,0.416533,0,8.345434,4.27046,12.656973,0,2.909822,1.209806,13.915481,4.227734,2.111384,0,6.540169,1.800917,2.238218,1.656219,0,0,0.908637,74.93648,0,0.520261,4.042762,0,0,1.979432,1.318882,0,7.022413,4.808964,36.827394,11.097653,3.401488,2.540476,0,4.993365,3.356328,0
hsa-mir-338,120.910899,596.787765,225.487356,159.011557,3104.307242,193.370922,160.278275,1186.571229,225.946493,292.720538,710.34271,419.969586,106.568711,532.299303,452.951336,210.50501,263.457784,549.340108,2391.400395,87.637671,178.216381,497.121364,16.842267,62.848769,63.884913,177.662055,256.250238,14.052239,783.67606,216.581428,722.568915,431.833124,278.114136,201.280248,165.030241,401.954708,365.846463,747.512465,164.839764,1015.370487,18.332965,797.29115,364.151521,257.845671,389.42127,323.041744,492.783494,256.701629,132.667554,261.871508,317.993988,52.933822,455.049187,347.099493,901.882581,11.865798,341.291424,738.477792,39.07792,126.05546,238.521523,532.828289,223.510556,150.279632,126.63605,303.825998,185.489343,92.974,154.969044,132.077013,113.599055,454.223044,192.117131
hsa-mir-339,62.287433,631.737767,150.903077,79.505779,68.634785,327.119144,154.317513,162.568657,47.375877,88.575379,93.307729,106.124826,90.780754,84.089011,52.446997,100.192288,63.378995,137.861215,86.505067,114.725678,121.235634,89.582784,120.30191,67.259209,81.630722,150.721497,76.016817,44.758983,34.781739,112.064921,142.584074,128.503975,215.616577,75.038689,81.771741,167.029884,96.77229,39.342761,52.953707,97.036792,26.55119,92.144354,56.860869,70.395961,97.23788,82.343974,140.197427,315.563149,52.226594,97.362484,92.748246,47.361841,87.223395,90.863742,183.373975,83.060585,68.674494,292.426425,145.714278,115.889697,90.064143,113.423844,110.695986,161.515493,67.325495,143.626835,210.855407,36.282537,45.72857,236.921652,71.155452,72.720438,42.001316
hsa-mir-33a,302.277247,584.917953,130.088859,37.215471,162.456647,69.291247,41.725336,308.940436,91.107457,37.960877,40.634011,36.237745,78.939786,84.089011,58.804208,26.313126,106.874384,73.666298,62.197858,43.022129,27.884196,30.912369,64.963031,68.361819,139.600364,71.356071,51.495263,30.186291,30.434022,27.290421,139.367892,44.826968,132.807312,46.78883,43.859388,147.452815,43.665546,15.498664,46.12097,83.676654,49.309353,185.258649,47.182423,118.690864,60.59752,185.801787,192.5099,183.124729,48.62476,71.622977,296.463145,110.046631,117.650161,44.523233,112.845523,15.821064,40.580383,115.8925,169.558433,44.729357,24.742897,80.451796,78.917234,12.640343,16.02988,22.096436,15.85379,130.390366,46.998809,58.549604,58.67204,96.214733,10.88923
hsa-mir-33b,19.235825,13.18868,6.938072,0,3.148385,12.891395,0.662307,5.398959,14.577193,2.530725,0.752482,3.235513,1.315663,2.379878,1.589303,0,4.970902,2.104751,3.57459,0,3.637069,1.261729,1.203019,0.551305,2.366108,2.912493,4.904311,1.040907,2.173859,0,4.288243,1.494232,9.374634,2.648424,1.486759,1.2496,0,1.192205,12.811381,1.40633,1.264342,20.368752,8.46864,5.729904,5.636979,14.779688,4.184998,3.270084,0.600306,11.19109,3.312437,15.322949,6.761504,1.817275,6.17124,0,3.641829,12.128285,3.974026,2.033153,4.948579,1.318882,2.648229,2.808965,3.205976,0,0,3.401488,8.891666,12.254568,1.248341,1.118776,0
hsa-mir-340,137.398749,161.561329,55.50458,69.356105,76.820585,77.348369,156.96674,128.375249,214.102523,113.039055,78.258095,88.005953,40.785556,192.77009,77.346076,57.686469,52.194467,188.375248,170.86538,106.758617,53.343679,85.797596,113.083795,71.118344,333.62121,90.287274,90.729749,107.213379,184.234525,192.194243,136.151709,73.217381,67.184876,124.475943,116.710576,142.037881,224.228477,164.524274,180.213421,303.064183,175.743591,41.707445,169.3728,44.202115,87.842916,25.336607,75.329961,137.343547,72.636987,61.550996,71.217404,66.167278,45.302074,39.071409,93.450199,51.418457,60.870574,126.673198,127.168825,67.094035,55.424088,39.566457,77.328297,147.470667,73.737447,79.178896,153.781763,199.553952,243.885709,78.973884,460.637927,140.965772,107.336697
hsa-mir-342,410.364262,578.323613,102.336569,165.778006,261.315924,404.467513,167.563651,467.909787,579.443425,238.731736,387.528068,196.072087,223.662727,1342.250999,134.560982,308.673211,191.379711,971.342758,1043.780143,645.33194,1845.206343,504.060876,480.00462,92.619239,747.690087,468.911325,163.068333,122.306524,103.801753,212.516897,530.670049,209.192517,195.304871,1832.709629,223.013839,73.726408,316.280168,1776.385282,926.689864,651.834101,529.127288,118.33275,760.967796,120.32798,1203.964675,118.237501,189.371152,673.637397,420.814279,482.335983,261.682553,284.867544,234.624172,208.077968,719.390211,466.721381,119.139842,1084.807706,190.090899,341.569634,1044.150235,221.57216,356.451669,2070.207274,120.224098,1786.128594,754.640404,773.271562,468.717847,520.13834,993.679648,993.473061,203.006361
